code_site;adresse;operateur;mise_en_serv;mise_en_serv_4g;mise_en_serv_5g_3500;mise_en_serv_5g_700;type;ardt;geo_shape;geo_point_2d
75108_061_01;61, rue de Rome;FREE MOBILE;2019-06-21T04:00:00+02:00;2019-07-15T04:00:00+02:00;;;MACRO;75008;"{""coordinates"": [2.321522999580814, 48.87981900037162], ""type"": ""Point""}";48.87981900037162,2.321522999580814
00000020U8;61, rue des archives;ORANGE;2012-11-28T02:00:00+01:00;2013-04-05T04:00:00+02:00;2019-09-09T04:00:00+02:00;;Macro;75003;"{""coordinates"": [2.35897200021257, 48.862044000382106], ""type"": ""Point""}";48.862044000382106,2.35897200021257
75109_010_06;14 rue de Trévise;FREE MOBILE;2016-10-28T04:00:00+02:00;2016-10-27T04:00:00+02:00;;;MACRO;75009;"{""coordinates"": [2.345291999522323, 48.873474000247825], ""type"": ""Point""}";48.873474000247825,2.345291999522323
00000430U7;46, rue lauriston;ORANGE;2012-11-29T02:00:00+01:00;2013-06-18T04:00:00+02:00;2020-11-30T02:00:00+01:00;;Macro;75016;"{""coordinates"": [2.290832999774961, 48.870197999760286], ""type"": ""Point""}";48.870197999760286,2.290832999774961
75109_012_01;39, rue de Dunkerque;FREE MOBILE;2016-05-26T04:00:00+02:00;2016-05-17T04:00:00+02:00;;;MACRO;75010;"{""coordinates"": [2.351389500137544, 48.88069199964458], ""type"": ""Point""}";48.88069199964458,2.351389500137544
00000075U8;99, rue des orteaux;ORANGE;2015-11-06T02:00:00+01:00;2015-11-06T02:00:00+01:00;2020-12-18T02:00:00+01:00;;Macro;75020;"{""coordinates"": [2.40804449952096, 48.855933000049774], ""type"": ""Point""}";48.855933000049774,2.40804449952096
75111_001_21;191 rue du Faubourg Saint-Antoine;FREE MOBILE;2018-12-06T02:00:00+01:00;2019-05-02T04:00:00+02:00;;;MACRO;75011;"{""coordinates"": [2.381872500150972, 48.850533000320524], ""type"": ""Point""}";48.850533000320524,2.381872500150972
00000050U7;1/3, sq henri de lormel;ORANGE;2008-03-20T02:00:00+01:00;2013-07-04T04:00:00+02:00;;;Macro;75014;"{""coordinates"": [2.329573500572523, 48.831974999835076], ""type"": ""Point""}";48.831974999835076,2.329573500572523
75111_057_12;94 rue de montreuil;FREE MOBILE;2019-06-10T04:00:00+02:00;2019-06-10T04:00:00+02:00;;2021-03-19T02:00:00+01:00;MACRO;75011;"{""coordinates"": [2.395350000469869, 48.85071300029649], ""type"": ""Point""}";48.85071300029649,2.395350000469869
00000120U8;11, rue des saussaies OSMSLA_MIROMESNIL_RF;ORANGE;2013-02-25T02:00:00+01:00;2012-07-19T04:00:00+02:00;;;Macro;75008;"{""coordinates"": [2.317550693558037, 48.87136563280699], ""type"": ""Point""}";48.87136563280699,2.317550693558037
